station,temp,YY,MM,DD,hh,mm
bdxc1,12.2875,2017,2,4,23,0
bdxc1,12.44166667,2017,2,5,23,0
bdxc1,12.475,2017,2,6,23,0
bdxc1,12.54583333,2017,2,7,23,0
bdxc1,12.67916667,2017,2,8,23,0
bdxc1,12.69166667,2017,2,9,23,0
bdxc1,12.75833333,2017,2,10,23,0
bdxc1,12.64583333,2017,2,11,23,0
bdxc1,12.40833333,2017,2,12,23,0
bdxc1,12.5375,2017,2,13,23,0
bdxc1,12.74166667,2017,2,14,23,0
bdxc1,12.975,2017,2,15,23,0
bdxc1,13.01666667,2017,2,16,23,0
bdxc1,13.2625,2017,2,17,23,0
bdxc1,13.15,2017,2,18,23,0
bdxc1,12.4875,2017,2,19,23,0
bdxc1,12.9125,2017,2,20,23,0
bdxc1,13.025,2017,2,21,23,0
bdxc1,13.00416667,2017,2,22,23,0
bdxc1,12.47916667,2017,2,23,23,0
bdxc1,12.3375,2017,2,24,23,0
bdxc1,12.4625,2017,2,25,23,0
bdxc1,12.05833333,2017,2,26,23,0
bdxc1,12.12173913,2017,2,27,23,0
bdxc1,12.325,2017,2,28,23,0
bdxc1,12.09583333,2017,3,1,23,0
bdxc1,12.30416667,2017,3,2,23,0
bdxc1,12.175,2017,3,3,23,0
bdxc1,12.01666667,2017,3,4,23,0
bdxc1,11.86666667,2017,3,5,23,0
bdxc1,11.325,2017,3,6,23,0
bdxc1,11.65833333,2017,3,7,23,0
bdxc1,12.06666667,2017,3,8,23,0
bdxc1,12.21666667,2017,3,9,23,0
bdxc1,11.87916667,2017,3,10,23,0
bdxc1,12.05,2017,3,11,23,0
bdxc1,11.77083333,2017,3,12,23,0
bdxc1,11.62916667,2017,3,13,23,0
bdxc1,12.36666667,2017,3,14,23,0
bdxc1,12.05714286,2017,3,15,23,0
bdxc1,12.33333333,2017,3,16,23,0
bdxc1,12.81666667,2017,3,17,23,0
bdxc1,12.9375,2017,3,18,23,0
bdxc1,13.30833333,2017,3,19,23,0
bdxc1,13.69583333,2017,3,20,23,0
bdxc1,13.57083333,2017,3,21,23,0
bdxc1,13.40833333,2017,3,22,23,0
bdxc1,12.85833333,2017,3,23,23,0
bdxc1,13.125,2017,3,24,23,0
bdxc1,13.11666667,2017,3,25,23,0
bdxc1,13.03333333,2017,3,26,23,0
bdxc1,13.05,2017,3,27,23,0
bdxc1,12.61363636,2017,3,28,23,0
bdxc1,12.075,2017,3,29,23,0
bdxc1,11.87916667,2017,3,30,23,0
bdxc1,10.9125,2017,3,31,23,0
bdxc1,10.79583333,2017,4,1,23,0
bdxc1,11,2017,4,2,23,0
bdxc1,10.65,2017,4,3,23,0
bdxc1,10.56666667,2017,4,4,23,0
bdxc1,10.54166667,2017,4,5,23,0
bdxc1,10.92083333,2017,4,6,23,0
bdxc1,10.84166667,2017,4,7,23,0
bdxc1,11.05833333,2017,4,8,23,0
bdxc1,11.5875,2017,4,9,23,0
bdxc1,12.02916667,2017,4,10,23,0
bdxc1,11.71666667,2017,4,11,23,0
bdxc1,11.82083333,2017,4,12,23,0
bdxc1,12.2625,2017,4,13,23,0
bdxc1,12.19166667,2017,4,14,23,0
bdxc1,11.78333333,2017,4,15,23,0
