book_id,title,author,publisher,creation_date,pub_date,item_type,location_code,material_type,barcode,publication_place,language,descripton,loans
818,The physiological effects of wheat germ oil on humans in exercise; forty-two physical training programs utilizing 894 humans.,"Cureton, Thomas Kirk, 1901-1992.",Thomas,2016-08-03T01:53:14Z,[1972],Book - Physical,GEN,Book,31175001282352,"Springfield, Ill.,",eng,NA,1
819,"The phylogenetic classification of diptera Cyclorrhapha; with special reference to the structure of the male postabdomen,","Griffiths, Graham C. D.",W Junk,2016-08-03T01:53:22Z,1972.,Book - Physical,GEN,Book,31175000705726,"The Hague,",eng,NA,1
820,New worlds of Dvořák : searching in America for the composer's inner life /,"Beckerman, Michael Brim, 1951- author.",WW Norton & Company,2016-08-03T01:53:25Z,[2003],Book - Physical,GEN,Book,31175026973183,New York :,eng,NA,1
821,Large-scale inverse problems and quantification of uncertainty /,NA,Wiley,2016-08-03T01:53:26Z,2011.,Book - Physical,GEN,Book,31175033989578,"Chichester, West Sussex :",eng,NA,1
822,Bacardi : the hidden war /,"Calvo Ospina, Hernando, 1961-",Pluto Press,2016-08-03T01:53:29Z,2002.,Book - Physical,BIOV,Book,31175027376741,"London ; Sterling, Va. :",eng,NA,1
823,"Exhibition, the film reader /",NA,Routledge,2016-08-03T01:53:30Z,2002.,Book - Physical,GEN,Book,31175027638272,London ; New York :,eng,NA,1
824,Plato on parts and wholes : the metaphysics of structure /,"Harte, Verity.",Oxford University Press; Clarendon Press,2016-08-03T01:53:36Z,2002.,Book - Physical,GEN,Book,31175027802845,Oxford : New York :,eng,NA,1
825,Poems from the Diwan /,"Halevi, Yehuda.",Anvil Press Poetry,2016-08-03T01:53:37Z,2002.,Book - Physical,GEN,Book,31175027516213,London :,eng,NA,1
826,Feminist policymaking in Chile /,"Haas, Liesl",Pennsylvania State University Press,2021-07-20T10:18:50Z,"[2010], ©2010",Book - Physical,GEN,Book,31175033974091,"University Park, Pa. :",eng,NA,1
827,The language of Greek comedy /,NA,Oxford University Press,2016-08-03T01:53:38Z,2002.,Book - Physical,GEN,Book,31175027369589,Oxford ; New York :,eng,NA,1
828,Eadweard Muybridge /,"Braun, Marta, author.",Reaktion Books,2016-08-03T01:53:40Z,2010.,Book - Physical,GEN,Book,31175033982300,"London, UK :",eng,NA,1
829,The new comparative theology : interreligious insights from the next generation /,NA,T & T Clark,2016-08-03T01:53:40Z,2010.,Book - Physical,GEN,Book,31175033972913,London ; New York :,eng,NA,1
