borrower_id,user_group,creation_date
191,Faculty and Staff,2006-08-14T00:00:00Z
192,Faculty and Staff,1997-09-09T00:00:00Z
193,Faculty and Staff,2013-08-12T00:00:00Z
194,Faculty and Staff,1991-03-28T00:00:00Z
195,Faculty and Staff,2004-09-21T00:00:00Z
196,Faculty and Staff,1991-07-17T00:00:00Z
197,Faculty and Staff,2015-09-01T00:00:00Z
198,Law Faculty,2013-08-21T00:00:00Z
199,Faculty and Staff,2013-08-21T00:00:00Z
200,Faculty and Staff,2013-08-27T00:00:00Z
201,Faculty and Staff,2013-08-27T00:00:00Z
202,Law Faculty,2013-08-21T00:00:00Z
203,Faculty and Staff,2008-12-19T00:00:00Z
204,Faculty and Staff,2008-11-09T00:00:00Z
205,Faculty and Staff,2009-02-10T00:00:00Z
206,Faculty and Staff,2008-08-06T00:00:00Z
207,Faculty and Staff,2008-08-11T00:00:00Z
208,Faculty and Staff,2008-07-29T00:00:00Z
209,Faculty and Staff,2008-08-11T00:00:00Z
210,Faculty and Staff,2008-08-25T00:00:00Z
211,Faculty and Staff,2013-09-04T00:00:00Z
212,Faculty and Staff,2013-09-10T00:00:00Z
213,Faculty and Staff,2013-09-19T00:00:00Z
214,Faculty and Staff,1991-06-26T00:00:00Z
215,Faculty and Staff,2003-09-20T00:00:00Z
216,Faculty and Staff,2009-10-12T00:00:00Z
217,Faculty and Staff,2009-09-10T00:00:00Z
218,Faculty and Staff,2009-09-11T00:00:00Z
219,Faculty and Staff,2009-10-22T00:00:00Z
220,Faculty and Staff,2009-10-15T00:00:00Z
221,Faculty and Staff,2009-10-06T00:00:00Z
222,Faculty and Staff,2009-09-09T00:00:00Z
223,Faculty and Staff,2014-06-12T00:00:00Z
224,Faculty and Staff,2005-10-06T00:00:00Z
225,Faculty and Staff,2005-10-18T00:00:00Z
226,Faculty and Staff,2005-10-06T00:00:00Z
227,Faculty and Staff,1991-06-07T00:00:00Z
228,Faculty and Staff,1997-09-12T00:00:00Z
229,Faculty and Staff,2005-09-06T00:00:00Z
230,Faculty and Staff,1995-09-29T00:00:00Z
231,Faculty and Staff,2005-09-06T00:00:00Z
232,Faculty and Staff,2005-09-07T00:00:00Z
233,Faculty and Staff,2005-08-24T00:00:00Z
234,Undergraduate students,2015-09-01T00:00:00Z
235,Faculty and Staff,1997-04-05T00:00:00Z
236,Faculty and Staff,2011-03-29T00:00:00Z
237,Faculty and Staff,2010-10-23T00:00:00Z
238,Faculty and Staff,1991-07-30T00:00:00Z
239,Faculty and Staff,1991-08-02T00:00:00Z
240,Faculty and Staff,2014-10-08T00:00:00Z
241,Faculty and Staff,1991-07-02T00:00:00Z
242,Faculty and Staff,2015-01-01T00:00:00Z
243,Faculty and Staff,2015-03-11T00:00:00Z
244,Faculty and Staff,2015-02-20T00:00:00Z
245,Faculty and Staff,1997-09-18T00:00:00Z
